ride_date,station_id,daily_ridership,raw_text_field,subway_ridership,bus_ridership,lirr_ridership,metro_north_ridership,access_a_ride_ridership,bridges_tunnels_ridership,pre_pandemic_comparison
2020-09-08,1,100000,MTA Aggregate,100000,100000,90603,42963,0,0,20
2020-09-09,1,100000,MTA Aggregate,100000,100000,86063,41954,0,0,21
2020-09-10,1,100000,MTA Aggregate,100000,100000,82142,39296,0,0,20
2020-09-11,1,100000,MTA Aggregate,100000,100000,88582,47781,0,0,20
2020-09-12,1,100000,MTA Aggregate,100000,100000,44546,32400,0,0,1
2020-09-13,1,100000,MTA Aggregate,100000,100000,36686,24009,0,0,0
2020-09-14,1,100000,MTA Aggregate,100000,100000,89498,41286,0,0,21
2020-09-15,1,100000,MTA Aggregate,100000,100000,87025,41288,0,0,22
2020-09-16,1,100000,MTA Aggregate,100000,100000,87034,41417,0,0,20
2020-09-17,1,100000,MTA Aggregate,100000,100000,86854,42339,0,0,21
2020-09-18,1,100000,MTA Aggregate,100000,100000,90657,48213,0,0,20
2020-09-19,1,100000,MTA Aggregate,100000,100000,46777,34608,0,0,24
2020-09-20,1,100000,MTA Aggregate,100000,100000,38973,26328,0,0,26
2020-09-21,1,100000,MTA Aggregate,100000,100000,89706,41901,0,0,20
2020-09-22,1,100000,MTA Aggregate,100000,100000,87376,41389,0,0,22
2020-09-23,1,100000,MTA Aggregate,100000,100000,88998,42506,0,0,22
2020-09-24,1,100000,MTA Aggregate,100000,100000,89129,42969,0,0,22
2020-09-25,1,100000,MTA Aggregate,100000,100000,92506,49819,0,0,22
2020-09-26,1,100000,MTA Aggregate,100000,100000,47169,35771,0,0,1
2020-09-27,1,100000,MTA Aggregate,100000,100000,39994,28480,0,0,0
2020-09-28,1,100000,MTA Aggregate,100000,100000,89664,43237,0,0,20
2020-09-29,1,100000,MTA Aggregate,100000,100000,88444,40515,0,0,21
2020-09-30,1,100000,MTA Aggregate,100000,100000,89223,41967,0,0,22
2020-10-01,1,100000,MTA Aggregate,100000,100000,86082,42390,0,0,22
2020-10-02,1,100000,MTA Aggregate,100000,100000,87291,48883,0,0,20
2020-10-03,1,100000,MTA Aggregate,100000,100000,45018,36907,0,0,1
2020-10-04,1,100000,MTA Aggregate,100000,100000,34976,27667,0,0,20
2020-10-05,1,100000,MTA Aggregate,100000,100000,88694,42257,0,0,20
2020-10-06,1,100000,MTA Aggregate,100000,100000,87748,43803,0,0,22
2020-10-07,1,100000,MTA Aggregate,100000,100000,87119,43534,0,0,21
2020-10-08,1,100000,MTA Aggregate,100000,100000,87959,44802,0,0,22
2020-10-09,1,100000,MTA Aggregate,100000,100000,78663,52686,0,0,21
2020-10-10,1,100000,MTA Aggregate,100000,100000,44528,41409,0,0,31
2020-10-11,1,100000,MTA Aggregate,100000,100000,34593,28784,0,0,28
2020-10-12,1,100000,MTA Aggregate,100000,100000,76776,39838,0,0,13
2020-10-13,1,100000,MTA Aggregate,100000,100000,76552,42205,0,0,21
2020-10-14,1,100000,MTA Aggregate,100000,100000,89173,45148,0,0,22
2020-10-15,1,100000,MTA Aggregate,100000,100000,90288,46249,0,0,23
